time,_dt,ave_temp_interior,average_burnup,average_fission_rate,avg_clad_temp,avg_density,avg_fast_fluence,avg_gap,clad_inner_vol,creep_timestep,fis_gas_generated,fis_gas_percent,fis_gas_released,flux_from_clad,flux_from_fuel,fuel_elongation,gas_volume,initial_moles,max_clad_temp,max_fuel_temp,min_clad_temp,min_fuel_temp,num_lin_it,num_nonlin_it,pellet_volume,plenum_pressure,plenum_temp,rod_input_power,rod_total_power,tot_lin_it,tot_nonlin_it
78983358.35082,317376.45001185,652.96492977498,0.047331153975598,1.2707433943542e+19,627.44036746962,9880.667502525,7.0993843326711e+25,-1.453820293544e-08,0.00021312400908562,316878.66640014,0.10650454729193,3.1421541191294,0.0033465370197936,-77450.06876584,69631.954027848,0.05398016988477,9.2919657535388e-06,0.018688055983708,640.16479807722,1464.8399429946,562.46754042791,642.40980955524,30,8,-0.00020383204333208,11878768.247058,603.54542323866,77872.86432,78430.656170835,6040,1843
79300237.01722,316878.66640014,653.0589917965,0.047504072459515,1.2707378115431e+19,627.43630486948,9879.2790559119,7.1252611899904e+25,-1.4120861795844e-08,0.00021315257072901,316380.669245,0.10689364840824,3.1674049140582,0.0033857546724986,-77436.901025656,69633.51966512,0.054154154036927,9.2917481634712e-06,0.018688055983708,640.16304006904,1465.8691323088,562.46759395393,642.54119720899,30,8,-0.00020386082256554,11899898.427751,603.54508953011,77872.86432,78430.311598094,6070,1851
79616617.686465,316380.669245,653.15476436841,0.047676718413529,1.2707319663903e+19,627.43240075104,9877.890333629,7.1510976855402e+25,-1.3705641163688e-08,0.00021318114887709,315871.6929457,0.10728213627785,3.1929664275239,0.0034254825940821,-77424.029442383,69635.277177565,0.05432821064819,9.2915330866475e-06,0.018688055983708,640.16229191121,1466.8998733808,562.46764856371,642.67538264476,30,8,-0.00020388961579044,11921347.481439,603.54453634039,77872.86432,78429.950833542,6100,1859
79932489.379411,315871.6929457,653.25213226573,0.047849085813642,1.2707258637713e+19,627.42880066559,9876.5016579488,7.1768929212767e+25,-1.3291801913625e-08,0.0002132097347376,315351.62606083,0.10766999734555,3.2188624027733,0.003465749063623,-77411.713946538,69637.224651847,0.054502301361736,9.2913183212798e-06,0.018688055983708,640.16171380303,1467.9324860883,562.4677039036,642.81192808763,30,8,-0.00020391841641632,11943068.347089,603.54392730903,77872.86432,78429.574178104,6130,1867
80247841.005472,315351.62606083,653.35069246566,0.048021168575871,1.2707195072985e+19,627.4251202253,9875.1131654496,7.2026459900149e+25,-1.2879275464963e-08,0.00021323832771135,314826.02983005,0.10805721792119,3.2450789856489,0.0035065420712374,-77399.248310653,69639.359160179,0.054676409092498,9.2911061133201e-06,0.018688055983708,640.16136017818,1468.9662951572,562.46776055117,642.95106796563,30,8,-0.00020394722159803,11965076.642251,603.54331423375,77872.86432,78429.181854728,6160,1875
80562667.035302,314826.02983005,653.45028661486,0.048192963651626,1.2707129001522e+19,627.42123030582,9873.7249832106,7.2283564386944e+25,-1.2469133950763e-08,0.00021326692436393,314294.52418251,0.10844379114482,3.2716169773711,0.0035478654819987,-77386.387311322,69641.678643307,0.054850518497351,9.2908956092752e-06,0.018688055983708,640.16078737361,1470.0009958986,562.46781844876,643.08366876881,30,8,-0.00020397602875465,11987368.004947,603.54314044859,77872.86432,78428.774059717,6190,1883
80876961.559484,314294.52418251,653.55088050703,0.048364467785567,1.2707060455375e+19,627.41711857638,9872.3372682492,7.2540237831967e+25,-1.2061123725089e-08,0.00021329552323595,313751.25290924,0.10882970969127,3.2984891022255,0.0035897361141501,-77373.112492636,69644.182264359,0.055024610974863,9.2906886179587e-06,0.018688055983708,640.16099520586,1471.0366163167,562.46787759918,643.20717110392,30,8,-0.00020400483461799,12009951.012134,603.54331452217,77872.86432,78428.350990882,6220,1891
81190712.812393,313751.25290924,653.65081751075,0.048535674527369,1.2706989460239e+19,627.41131467959,9870.9504962479,7.2796470611186e+25,-1.1655898326471e-08,0.00021332411493347,313239.71816928,0.10921495904602,3.3256723577243,0.0036321317034934,-77356.724761083,69646.861323718,0.055198628939806,9.2904857687525e-06,0.018688055983708,640.15798217788,1472.0682186942,562.46794051908,643.33290002857,33,9,-0.00020403362916472,12032832.152137,603.54344679757,77872.86432,78427.912806814,6253,1900
81503952.530563,313239.71816928,653.7557537963,0.048706601165339,1.2706916046392e+19,627.40877543125,9869.5628828215,7.305228862789e+25,-1.1249479938363e-08,0.00021335273389708,312649.99392723,0.10959957811123,3.3531807858072,0.0036750719945514,-77346.339921051,69649.737059878,0.05537278565597,9.2902841859552e-06,0.018688055983708,640.15859309834,1473.1109481042,562.46800005727,643.4606405925,30,8,-0.00020406244971112,12055995.375745,603.54366241394,77872.86432,78427.459694389,6283,1908
81816602.52449,312649.99392723,653.86027048886,0.048877205004811,1.2706840264281e+19,627.40478750055,9868.1762289891,7.3307628010145e+25,-1.0845935954775e-08,0.0002133813457587,312091.6419376,0.10998347081536,3.3809670582748,0.0037185049178145,-77333.28825417,69652.784791039,0.055546863914677,9.2900871899077e-06,0.018688055983708,640.15881118118,1474.1507157363,562.46806316602,643.59059344429,30,8,-0.00020409125856879,12079449.539569,603.5438357979,77872.86432,78426.991964968,6313,1916
82128694.166428,312091.6419376,653.96573403834,0.049047503136779,1.2706762135679e+19,627.40065109508,9866.7899679976,7.3562514363061e+25,-1.0443989539123e-08,0.00021340995986675,311536.15393551,0.11036667561656,3.4090118788464,0.0037624130820564,-77319.962517008,69656.007724063,0.055720931417474,9.2898922714707e-06,0.018688055983708,640.1575353431,1475.1909783484,562.46812805817,643.7224231316,31,8,-0.00020412006759528,12103167.262145,603.54400493648,77872.86432,78426.509752943,6344,1924
